startloc,weight,workload,trace,group
1152,0.126582,605.mcf_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/605.mcf_s-1152B.champsimtrace.xz,speccpu/6xx
149,0.100873,641.leela_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/641.leela_s-149B.champsimtrace.xz,speccpu/6xx
1052,0.211354,641.leela_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/641.leela_s-1052B.champsimtrace.xz,speccpu/6xx
334,0.0296943,641.leela_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/641.leela_s-334B.champsimtrace.xz,speccpu/6xx
862,0.124454,641.leela_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/641.leela_s-862B.champsimtrace.xz,speccpu/6xx
602,0.129258,641.leela_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/641.leela_s-602B.champsimtrace.xz,speccpu/6xx
1083,0.139301,641.leela_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/641.leela_s-1083B.champsimtrace.xz,speccpu/6xx
800,0.255459,641.leela_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/641.leela_s-800B.champsimtrace.xz,speccpu/6xx
217,0.158358,429.mcf,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/429.mcf-217B.champsimtrace.xz,speccpu/4xx
192,0.184751,429.mcf,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/429.mcf-192B.champsimtrace.xz,speccpu/4xx
51,0.322581,429.mcf,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/429.mcf-51B.champsimtrace.xz,speccpu/4xx
22,0.11437,429.mcf,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/429.mcf-22B.champsimtrace.xz,speccpu/4xx
184,0.146628,429.mcf,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/429.mcf-184B.champsimtrace.xz,speccpu/4xx
767,0.238528,458.sjeng,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/458.sjeng-767B.champsimtrace.xz,speccpu/4xx
283,0.124242,458.sjeng,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/458.sjeng-283B.champsimtrace.xz,speccpu/4xx
31,0.208225,458.sjeng,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/458.sjeng-31B.champsimtrace.xz,speccpu/4xx
1088,0.271429,458.sjeng,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/458.sjeng-1088B.champsimtrace.xz,speccpu/4xx
10881,0.0887756,649.fotonik3d_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/649.fotonik3d_s-10881B.champsimtrace.xz,speccpu/6xx
1176,0.497231,649.fotonik3d_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/649.fotonik3d_s-1176B.champsimtrace.xz,speccpu/6xx
7084,0.20726,649.fotonik3d_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/649.fotonik3d_s-7084B.champsimtrace.xz,speccpu/6xx
